date,stock_id,percent,people,unit
2026-09-04,00983D,30.450000000000003,38,31744140
2026-09-04,00984A,15.88,43,101406793
2026-09-04,00984B,35.510000000000005,27,43851569
2026-09-04,00984D,45.27,399,510069144
2026-09-04,00985A,16.580000000000002,38,75008084
2026-09-04,00985B,57.4,188,387300480
2026-09-04,00985D,55.45,23,56696143
2026-09-04,00986A,16.76,6,6597606
2026-09-04,00986B,79.24,6,16453686
2026-09-04,00986D,51.7,42,76894706
2026-09-04,00987A,14.12,17,22001314
2026-09-04,00987B,54.5,25,39702242
2026-09-04,00987D,74.59,13,70889841
2026-09-04,00988A,18.55,371,605412847
2026-09-04,00988B,28.85,41,46564093
2026-09-04,00989A,15.4,8,10270024
2026-09-04,00989B,34.03,26,27906759
2026-09-04,00990A,33.89,401,824461084
2026-09-04,00990B,40.78,15,34410294
2026-09-04,00991A,19.85,464,893675345
2026-09-04,00991B,98.23,13,223328032
2026-09-04,00992A,17.76,231,405962777
2026-09-04,00993A,20.18,99,152834283
2026-09-04,00994A,18.36,31,51736647
2026-09-04,00995A,14.25,28,38965718
2026-09-04,00996A,20.6,36,60791676
2026-09-04,00997A,16.240000000000002,154,187114694
2026-09-04,00998A,36.96,26,86032436
2026-09-04,00999A,10.61,80,105338354
2026-09-04,01001T,93.29,61,544027398
2026-09-04,01002T,93.68,112,1305410000
2026-09-04,01004T,94.01,82,686668428
2026-09-04,01007T,92.76,81,668089980
2026-09-04,01009T,90.2,61,270643019
2026-09-04,01010T,98.75,81,2279539865
2026-09-04,1101,55.47,856,4174613439
2026-09-04,1101B,94.08,22,188202651
2026-09-04,1102,81.71000000000001,336,2898825066
2026-09-04,1103,80.31,135,669087235
2026-09-04,1104,73.52000000000001,111,504918725
2026-09-04,1107,99.7,1,10069890
2026-09-04,1108,78.67999999999999,68,318521244
2026-09-04,1109,79.87,72,272544823
2026-09-04,1110,94.17,60,538781435
2026-09-04,1113O,0.0,0,0
2026-09-04,1113R,0.0,0,0
2026-09-04,1201,63.69,64,322418766
2026-09-04,1203,90.93,50,218285294
2026-09-04,1204,45.75,6,8406600
2026-09-04,1207,77.28,48,358763601
2026-09-04,1210,64.94,130,581143941
2026-09-04,1212,44.24,45,77057823
2026-09-04,1213,81.87,13,46369283
2026-09-04,1215,56.21,32,165766763
2026-09-04,1216,89.66999999999999,760,5095646310
2026-09-04,1217,61.56,130,304545289
2026-09-04,1218,67.33,69,336745743
2026-09-04,1219,64.2,77,219161639
2026-09-04,1220,67.66,46,119838341
2026-09-04,1221,34.2,22,32505214
2026-09-04,1224,88.36,20,63549161
2026-09-04,1225,89.5,39,216872676
2026-09-04,1227,67.19999999999999,73,615121065
2026-09-04,1228,38.0,5,4223807
2026-09-04,1229,65.92999999999999,174,1208105727
2026-09-04,1231,64.94,28,213220694
2026-09-04,1232,73.76,11,118013587
2026-09-04,1233,75.73,27,68633554
2026-09-04,1234,83.05000000000001,136,333885527
2026-09-04,1235,96.36,15,181726811
2026-09-04,1236,83.51,23,72403646
2026-09-04,1238,11.73,4,3516000
2026-09-04,1240,69.69,25,30831804
2026-09-04,1256,59.9,10,21439774
2026-09-04,1259,78.32000000000001,9,25374919
2026-09-04,1260,76.38,30,77992209
2026-09-04,1264,47.22,16,17503430
2026-09-04,1268,78.11,17,32982262
2026-09-04,1269,77.54,7,16195413
2026-09-04,1271,74.1,19,57148479
2026-09-04,1293,74.31,11,12704742
2026-09-04,1294,60.04,16,21999956
2026-09-04,1295,57.92,15,21787312
2026-09-04,1301,75.65,581,4817171319
2026-09-04,1303,86.46000000000001,703,6858030130
2026-09-04,1304,60.95,112,724785701
2026-09-04,1305,51.73,62,300717320
2026-09-04,1306,21.34,4,9502500
2026-09-04,1307,80.2,62,319097219
2026-09-04,1308,52.82,64,313721543
2026-09-04,1309,46.48,31,184860189
2026-09-04,1310,30.22,90,159617631
2026-09-04,1312,59.64,170,898964871
2026-09-04,1312A,54.45,12,10892744
2026-09-04,1313,68.4,165,910480113
2026-09-04,1314,40.870000000000005,785,1547942696
2026-09-04,1315,81.1,42,80387070
2026-09-04,1316,41.88,83,168268668
2026-09-04,1319,80.22999999999999,106,474608623
2026-09-04,1321,70.73,94,160759468
2026-09-04,1323,70.53999999999999,36,64414299
2026-09-04,1324,66.23,20,49770889
2026-09-04,1325,47.81,9,40784314
2026-09-04,1326,83.08,519,4869887828
2026-09-04,1333,51.19,14,38162983
