date,name,code,market,horizon,close,signal
2026-09-12,騰輝電子-KY,6672,TW,長期,292.0,賣出減碼
2026-09-12,陽程,3498,TW,長期,192.0,賣出減碼
2026-09-12,信紘科,6667,TW,長期,247.0,賣出減碼
2026-09-12,汎銓,6830,TW,長期,551.0,加碼
2026-09-12,萊德光電-KY,7717,TW,長期,517.0,賣出減碼
2026-09-12,漢磊,3707,TW,長期,59.2,賣出減碼
2026-09-12,文曄,3036,TW,長期,191.0,賣出減碼
2026-09-12,華通,2313,TW,長期,221.5,賣出減碼
2026-09-12,光聖,6442,TW,長期,1670.0,賣出減碼
2026-09-12,亞翔,6139,TW,長期,709.0,賣出減碼
2026-09-12,頎邦,6147,TW,長期,181.0,賣出減碼
2026-09-12,主動統一台股增長,00981A,TW,長期,29.44,賣出減碼
2026-09-12,欣興,3037,TW,長期,977.0,觀望
2026-09-12,金居,8358,TW,長期,485.0,賣出減碼
2026-09-12,台燿,6274,TW,長期,1365.0,買進
2026-09-12,弘塑,3131,TW,長期,2325.0,賣出減碼
2026-09-12,中天,4128,TW,長期,14.5,賣出減碼
2026-09-12,盟立,2464,TW,長期,188.5,賣出減碼
2026-09-12,永笙-KY,4178,TW,長期,16.5,賣出減碼
2026-09-12,景碩,3189,TW,長期,822.0,買進
2026-09-12,期元大S&P黃金,00635U,TW,長期,44.76,賣出減碼
2026-09-12,元大台灣50反1,00632R,TW,長期,9.91,賣出減碼
2026-09-12,新唐,4919,TW,長期,112.5,賣出減碼
2026-09-12,友達,2409,TW,長期,30.2,加碼
